ID,Slide number(s),Type,Authors,Title,Source or venue,Year,DOI / arXiv / ISBN / URL,Original text from slide,Context,Completeness
R011,Klemm slide 5,Technical report,AMD,CDNA 4 whitepaper,AMD,,,"for more details, see the CDNA 4 whitepaper",Further reading on MI350/CDNA 4 hardware.,Missing link
R012,Klemm slide 7,Software or code repository,ROCm project,ROCm libraries,GitHub / AMD,,https://github.com/ROCm/rocm-libraries,https://github.com/ROCm/rocm-libraries,Software repository for ROCm library stack.,Complete link
R013,Klemm slide 7,Technical report,AMD,ROCm 7 release notes,ROCm documentation,,,The ROCm 7 release notes,Further reading for SDK release highlights.,Missing link
R014,Klemm slide 7,Website,AMD,ROCm 7 for AI workloads,ROCm Blogs,,,ROCm Blogs post on ROCm 7 for AI workloads,Further reading for SDK release highlights.,Missing link
R015,"Klemm slides 20, 21",Software or code repository,AMD,AMD Next-Gen Fortran compiler pre-release,repo.radeon.com,,https://repo.radeon.com/rocm/misc/flang/,https://repo.radeon.com/rocm/misc/flang/,Software link for AMD Fortran OpenMP offload compiler.,Complete link
R016,Klemm slide 21,Website,AMD,Fortran journey,ROCm Blogs,,https://rocm.blogs.amd.com/ecosystems-and-partners/fortran-journey/README.html,https://rocm.blogs.amd.com/ecosystems-and-partners/fortran-journey/README.html,Further reading on AMD Fortran compiler development.,Complete link
R017,Klemm slide 21,Software or code repository,AMD,InfinityHub-CI Fortran README,GitHub,,https://github.com/amd/InfinityHub-CI/blob/main/fortran/README.md,https://github.com/amd/InfinityHub-CI/blob/main/fortran/README.md,Repository documentation for AMD Fortran examples.,Complete link
R018,Klemm slide 39,Website,HLRS,Application Examples OpenMP Offload PDF,HLRS,,https://fs.hlrs.de/projects/par/events/2025/GPU-OPENMP-AMD/day2/03_ApplicationExamplesOpenMPOffload.pdf,https://fs.hlrs.de/projects/par/events/2025/GPU-OPENMP-AMD/day2/03_ApplicationExamplesOpenMPOffload.pdf,Further reading for application offload examples.,Complete link
R019,"Klemm slides 42, 44",Software or code repository,AMD,HPCTrainingExamples,GitHub,,https://github.com/amd/HPCTrainingExamples,git clone https://github.com/amd/HPCTrainingExamples.git; https://github.com/amd/HPCTrainingExamples/tree/main,Hands-on code repository.,Complete link
R020,Anzt slide 10,Other,John Shalf,Not available on slide,Not available on slide,,,John Shalf,Credit/source for data-movement and wire-scaling discussion.,Unclear
R021,Anzt slide 13,Website,TUM COMA,Power Grid vs Water Supply Network demo,TUM CIT,,https://coma.cit.tum.de/demos/,https://coma.cit.tum.de/demos/,Interactive background demo on grid fragility.,Complete link
R022,Anzt slides 14-17,Website,ENTSO-E,Transparency Platform,ENTSO-E,,https://transparency.entsoe.eu,https://transparency.entsoe.eu,Source for electricity generation and cross-border-flow examples.,Complete link
R023,Anzt slides 18-19,Website,Fraunhofer ISE / Energy-Charts,Electricity production and spot prices in Germany,Energy-Charts,,https://energy-charts.info/charts/price_spot_market/chart.htm?l=en&c=DE,https://energy-charts.info/charts/price_spot_market/chart.htm?l=en&c=DE,Source for energy-price and renewable-production examples.,Complete link
R024,Anzt slide 28,Website,IEA,Not available on slide,International Energy Agency,,,Source: IEA,Source for proposed solution context on datacenters as flexible load.,Missing link
R025,"Kurz slides 2, 33",Software or code repository,AMD,TinyTransformer / TinyLlama workshop example,GitHub,,https://github.com/amd/HPCTrainingExamples/tree/main/MLExamples/TinyTransformer,https://github.com/amd/HPCTrainingExamples/tree/main/MLExamples/TinyTransformer,Hands-on code for LLM performance exercises.,Complete link
R026,"Kurz slides 9, 21",Conference paper,Ashish Vaswani et al.,Attention is all you need,Advances in Neural Information Processing Systems 30,2017,,"Vaswani, Ashish, et al. ""Attention is all you need."" Advances in neural information processing systems 30 (2017).",Defines scaled dot-product attention used in transformer explanation.,Missing link
R027,Kurz slide 31,Software or code repository,ROCm,aws-ofi-rccl CXI plugin,GitHub,,https://github.com/ROCm/aws-ofi-rccl,CXI plugin (https://github.com/ROCm/aws-ofi-rccl),Communication plugin for RCCL networking.,Complete link
R028,Kurz slide 33,Website,HLRS,Self-study materials,HLRS,,https://www.hlrs.de/training/self-study-materials,https://www.hlrs.de/training/self-study-materials,Further learning resources.,Complete link
R029,Kurz slide 33,Website,HLRS / YouTube,Part 1,YouTube,,https://www.youtube.com/watch?v=4HazU3iChdM,Part 1: https://www.youtube.com/watch?v=4HazU3iChdM,Video further reading for training material.,Complete link
R030,Kurz slide 33,Website,HLRS / YouTube,Part 2,YouTube,,https://www.youtube.com/watch?v=sxBN0QwR5Ck,Part 2: https://www.youtube.com/watch?v=sxBN0QwR5Ck,Video further reading for training material.,Complete link
R031,Kurz slide 33,Website,HLRS / YouTube,Part 3,YouTube,,https://www.youtube.com/watch?v=4fxBkc4-opY,Part 3: https://www.youtube.com/watch?v=4fxBkc4-opY,Video further reading for training material.,Complete link
R032,Kurz slide 33,Website,HLRS / YouTube,Part 4,YouTube,,https://www.youtube.com/watch?v=9U51n2xZw54,Part 4: https://www.youtube.com/watch?v=9U51n2xZw54,Video further reading for training material.,Complete link
R033,Dessole slide 4,Website,CERN,ROOT data analysis framework,ROOT / CERN,,https://root.cern/,ROOT: https://root.cern/,Software framework background for HEP analysis.,Complete link
R034,Dessole slide 4,Other,ATLAS Experiment/CERN,H→ZZ→4l invariant mass figure,ATLAS Experiment/CERN,,,Image: ATLAS Experiment/CERN,Figure credit for Higgs boson analysis plot.,Missing link
R035,Ltaief slides 8-13,Conference paper,N. Doucet; HL; D. Gratadour; D. Keyes,Mixed-Precision Tomographic Reconstructor Computations on Hardware Accelerators,IEEE/ACM SC19 IA3 Workshop,,,"N. Doucet, HL, D. Gratadour and D. Keyes, Mixed-Precision Tomographic Reconstructor Computations on Hardware Accelerators, IEEE/ACM SC19 IA3 Workshop.",Supports adaptive optics mixed-precision example.,Missing link
R036,Ltaief slides 8-13,Conference paper,HL; D. Sukkari; O. Guyon; D. Keyes,Extreme Computing for Extreme Adaptive Optics: The Key to Finding Life Outside our Solar System,ACM PASC18,,,"HL, D. Sukkari, O. Guyon, and D. Keyes, Extreme Computing for Extreme Adaptive Optics: The Key to Finding Life Outside our Solar System, ACM PASC18.",Supports adaptive optics application motivation.,Missing link
R037,Ltaief slides 8-13,Other,HL; J. Cranney; D. Gratadour; Y. Hong; L. Gatineau; D. Keyes,Meeting the real-time challenges of ground-based telescopes using low-rank matrix computations,Not available on slide,,,"HL, J. Cranney, D. Gratadour, Y. Hong, L. Gatineau, and D. Keyes, Meeting the real-time challenges of ground-based telescopes using low-rank matrix computations,",Supports low-rank methods for telescope control.,Unclear
R038,Ltaief slide 14,Conference paper,S. Tomov; R. Nath; HL; J. Dongarra,Dense linear algebra solvers for multicore with GPU accelerators,IEEE IPDPS,2010,,"S. Tomov, R. Nath, HL and J. Dongarra, Dense linear algebra solvers for multicore with GPU accelerators, IEEE IPDPS, 2010.",Background for GPU dense linear algebra.,Missing link
R039,"Ltaief slides 14, 36",Journal paper,N. Higham; T. Mary,Mixed Precision Algorithms in Numerical Linear Algebra,Acta Numerica,2022,,"N. Higham and T. Mary, Mixed Precision Algorithms in Numerical Linear Algebra, Acta Numerica, 2022.",Foundational background on mixed-precision algorithms.,Missing link
R040,Ltaief slide 14,Journal paper,HL; M. Genton; D. Gratadour; D. Keyes; M. Ravasi,Responsibly Reckless Matrix Algorithms for HPC Scientific Applications,Computing in Science & Engineering,2022,,"HL, M. Genton, D. Gratadour, D. Keyes and M. Ravasi, Responsibly Reckless Matrix Algorithms for HPC Scientific Applications, Computing in Science & Engineering, 2022.",Supports adaptive precision philosophy.,Missing link
R041,Ltaief slide 15,Software or code repository,HiCMA / PaRSEC team,HiCMA Powered by PaRSEC,SC25,2025,,HiCMA Powered by PaRSEC: Released at SC25,Software release for hierarchical mixed-precision computations.,Missing link
R042,Ltaief slide 20,Software or code repository,University of Tennessee ICL,PaRSEC runtime system,ICL / UTK,,https://icl.utk.edu/parsec/,https://icl.utk.edu/parsec/,Runtime system supporting task-based execution.,Complete link
R043,Ltaief slide 22,Conference paper,R. Alomairy; S. Abdulah; Q. Cao; M. G. Genton; D. E. Keyes; HL,Sustainably Modeling a Sustainable Future Climate,IEEE HPEC,2025,,"Sustainably Modeling a Sustainable Future Climate, R. Alomairy, S. Abdulah, Q. Cao, M. G. Genton, D. E. Keyes, HL, IEEE HPEC, 2025.",Supports energy and time results for climate modeling.,Missing link
R044,Ltaief slide 31,Conference paper,G. Chávez; Y. Liu; P. Ghysels; X. S. Li; E. Rebrova,Scalable and Memory-Efficient Kernel Ridge Regression,IEEE IPDPS,2020,,"G. Chávez, Y. Liu, P. Ghysels, X. S. Li and E. Rebrova, Scalable and Memory-Efficient Kernel Ridge Regression, IEEE IPDPS, 2020.",Supports kernel ridge regression and epistasis example.,Missing link
R045,Ltaief slide 39,Journal paper,Jack Dongarra; David Keyes,The co-evolution of computational physics and high-performance computing,Nature Reviews Physics,2024,,"Dongarra, Jack, and David Keyes. ""The co-evolution of computational physics and high-performance computing."" Nature Reviews Physics (2024).",Supports performance-gap discussion for memory and interconnect.,Missing link
R046,Ltaief slide 4,Other,H. Bayraktar; NVIDIA,FP/TF/INT performance of 5 generations of NVIDIA GPUs,NVIDIA,,,"Slide courtesy H. Bayraktar, NVIDIA",Figure credit for GPU precision-performance chart.,Missing link
R047,Goetz slide 29,Conference paper,Thorsten Kurth; Shashank Subramanian; Peter Harrington; Jaideep Pathak; Morteza Mardani; David Hall; Andrea Miele; Karthik Kashinath; Anima Anandkumar,Fourcastnet: Accelerating global high-resolution weather forecasting using adaptive fourier neural operators,Proceedings of the Platform for Advanced Scientific Computing Conference,2023,,"Thorsten Kurth, Shashank Subramanian, Peter Harrington, Jaideep Pathak, Morteza Mardani, David Hall, Andrea Miele, Karthik Kashinath, and Anima Anandkumar. “Fourcastnet: Accelerating global high-resolution weather forecasting using adaptive fourier neural operators”. In: Proceedings of the platform for advanced scientific computing conference. 2023, pp. 1–11.",Reference for neural surrogate example.,Missing link
R048,Goetz slide 29,Journal paper,Josh Abramson; Jonas Adler; Jack Dunger; Richard Evans; Tim Green; Alexander Pritzel; Olaf Ronneberger; Lindsay Willmore; Andrew J Ballard; Joshua Bambrick; et al.,Accurate structure prediction of biomolecular interactions with AlphaFold 3,Nature 630.8016,2024,,"Josh Abramson, Jonas Adler, Jack Dunger, Richard Evans, Tim Green, Alexander Pritzel, Olaf Ronneberger, Lindsay Willmore, Andrew J Ballard, Joshua Bambrick, et al. “Accurate structure prediction of biomolecular interactions with AlphaFold 3”. In: Nature 630.8016 (2024), pp. 493–500.",Reference for AI surrogate models in science.,Missing link
R049,Goetz slide 29,Journal paper,Hendrik F Hamann; Blazhe Gjorgiev; Thomas Brunschwiler; Leonardo SA Martins; Alban Puech; Anna Varbella; Jonas Weiss; Juan Bernabe-Moreno; Alexandre Blondin Massé; Seong Lok Choi; et al.,Foundation models for the electric power grid,Joule 8.12,2024,,"Hendrik F Hamann, Blazhe Gjorgiev, Thomas Brunschwiler, Leonardo SA Martins, Alban Puech, Anna Varbella, Jonas Weiss, Juan Bernabe-Moreno, Alexandre Blondin Massé, Seong Lok Choi, et al. “Foundation models for the electric power grid”. In: Joule 8.12 (2024), pp. 3245–3258.",Reference for foundation models in power systems.,Missing link
R050,Goetz slide 29,Conference paper,Samuel Schoenholz; Ekin Dogus Cubuk,Jax md: a framework for differentiable physics,Advances in Neural Information Processing Systems 33,2020,,"Samuel Schoenholz and Ekin Dogus Cubuk. “Jax md: a framework for differentiable physics”. In: Advances in Neural Information Processing Systems 33 (2020), pp. 11428–11441.",Reference for differentiable physics framework.,Missing link
R051,Goetz slide 29,Preprint,Yuanming Hu; Luke Anderson; Tzu-Mao Li; Qi Sun; Nathan Carr; Jonathan Ragan-Kelley; Frédo Durand,DiffTaichi: Differentiable Programming for Physical Simulation,arXiv,2020,DOI: 10.48550/arXiv.1910.00935; arXiv:1910.00935 [cs.LG],"Yuanming Hu, Luke Anderson, Tzu-Mao Li, Qi Sun, Nathan Carr, Jonathan Ragan-Kelley, and Frédo Durand. DiffTaichi: Differentiable Programming for Physical Simulation. 2020. DOI: 10.48550/arXiv.1910.00935. arXiv: 1910.00935 [cs.LG].",Reference for differentiable programming implementation.,Complete link
R052,Goetz slide 29,Journal paper,Max Pargmann; Jan Ebert; Markus Götz; Daniel Maldonado Quinto; Robert Pitz-Paal; Stefan Kesselheim,Automatic heliostat learning for in situ concentrating solar power plant metrology with differentiable ray tracing,Nature Communications 15.1,2024,DOI: 10.1038/s41467-024-51019-z,"Max Pargmann, Jan Ebert, Markus Götz, Daniel Maldonado Quinto, Robert Pitz-Paal, and Stefan Kesselheim. “Automatic heliostat learning for in situ concentrating solar power plant metrology with differentiable ray tracing”. In: Nature Communications 15.1 (2024), p. 6997. DOI: 10.1038/s41467-024-51019-z.",Main differentiable ray-tracing application.,Complete link
R053,Goetz slide 30,Conference paper,Adam Paszke; Sam Gross; Francisco Massa; Adam Lerer; et al.,"PyTorch: An Imperative Style, High-Performance Deep Learning Library","Advances in Neural Information Processing Systems 32; Curran Associates, Inc.",2019,http://papers.neurips.cc/paper/9015-pytorch-an-imperative-style-high-performance-deep-learning-library.pdf,"Adam Paszke, Sam Gross, Francisco Massa, Adam Lerer, et al. “PyTorch: An Imperative Style, High-Performance Deep Learning Library”. In: Advances in Neural Information Processing Systems 32. Curran Associates, Inc., 2019, pp. 8024–8035. URL: http://papers.neurips.cc/paper/9015-pytorch-an-imperative-style-high-performance-deep-learning-library.pdf.",Software framework reference.,Complete link
R054,Goetz slide 30,Software or code repository,James Bradbury; Roy Frostig; Peter Hawkins; Matthew James Johnson; Yash Katariya; Chris Leary; Dougal Maclaurin; George Necula; Adam Paszke; Jake VanderPlas; Skye Wanderman-Milne; Qiao Zhang,JAX: composable transformations of Python+NumPy programs,GitHub,2018,http://github.com/jax-ml/jax,"James Bradbury, Roy Frostig, Peter Hawkins, Matthew James Johnson, Yash Katariya, Chris Leary, Dougal Maclaurin, George Necula, Adam Paszke, Jake VanderPlas, Skye Wanderman-Milne, and Qiao Zhang. JAX: composable transformations of Python+NumPy programs. Version 0.3.13. 2018. URL: http://github.com/jax-ml/jax.",Software framework reference.,Complete link
R055,Goetz slide 30,Software or code repository,Martin Abadi; Ashish Agarwal; Paul Barham; et al.,TensorFlow: Large-Scale Machine Learning on Heterogeneous Systems,tensorflow.org,2015,http://tensorflow.org/,"Martin Abadi, Ashish Agarwal, Paul Barham, et al. TensorFlow: Large-Scale Machine Learning on Heterogeneous Systems. Software available from tensorflow.org, [accessed at 2021-08-04]. 2015. URL: http://tensorflow.org/.",Software framework reference.,Complete link
R056,Goetz slide 30,Preprint,N. Thuerey; B. Holzschuh; P. Holl; G. Kohl; M. Lino; Q. Liu; P. Schnell; F. Trost,Physics-based Deep Learning,arXiv,2025,DOI: 10.48550/arXiv.2109.05237; arXiv:2109.05237 [cs.LG],"N. Thuerey, B. Holzschuh, P. Holl, G. Kohl, M. Lino, Q. Liu, P. Schnell, and F. Trost. Physics-based Deep Learning. 2025. DOI: 10.48550/arXiv.2109.05237. arXiv: 2109.05237 [cs.LG].",Further reading on physics-based deep learning.,Complete link
R057,Goetz slide 30,Journal paper,Rhys Newbury; Jack Collins; Kerry He; Jiahe Pan; Ingmar Posner; David Howard; Akansel Cosgun,A review of differentiable simulators,IEEE Access 12,2024,,"Rhys Newbury, Jack Collins, Kerry He, Jiahe Pan, Ingmar Posner, David Howard, and Akansel Cosgun. “A review of differentiable simulators”. In: IEEE Access 12 (2024), pp. 97581–97604.",Survey reference for differentiable simulators.,Missing link
R058,Domke slide 19,Technical report,Albert Reuther et al.,Survey of Machine Learning Accelerators,Not available on slide,2020,,"Albert Reuther, et al. “Survey of Machine Learning Accelerators”, 2020",Background figure/source for accelerator design space.,Missing link
R059,Domke slide 24,Website,Pinterest / image source,Image source for octopus figure,Pinterest,,www.pinterest.fr/pin/145170787976811341/,Source: www.pinterest.fr/pin/145170787976811341/,Image credit for Octopodes analogy.,Partial link
R060,Domke slide 24,Journal paper,S. Matsuoka; J. Domke; M. Wahib; A. Drozd; A. Chien; R. Bair; J. S. Vetter; J. Shalf,Preparing for the Future – Rethinking Proxy Applications,Computing in Science & Engineering,,,"S. Matsuoka, J. Domke, M. Wahib, A. Drozd, A. Chien, R. Bair, J. S. Vetter, J. Shalf ""Preparing for the Future –Rethinking Proxy Applications"" in Computing in Science & Engineering",Supports benchmarking and co-design discussion.,Missing link
R061,"Domke slides 32, 70, 71",Other,M. Moses et al.,High-Performance GPU-to-CPU Transpilation and Optimization via High-Level Parallel Constructs,Not available on slide,,,"M. Moses et al. ""High-Performance GPU-to-CPU Transpilation and Optimization via High-Level Parallel Constructs”",Supports MocCUDA / GPU-to-CPU transpilation discussion.,Unclear
R062,Domke slide 45,Website,NVIDIA,Demystifying AI inference deployments for trillion-parameter large language models,NVIDIA Developer Blog,,https://developer.nvidia.com/blog/demystifying-ai-inference-deployments-for-trillion-parameter-large-language-models/,NVIDIA: https://developer.nvidia.com/blog/demystifying-ai-inference-deployments-for-trillion-parameter-large-language-models/,Background on AI inference deployments.,Complete link
R063,Domke slide 45,Conference paper,V. Volkov,First GEMM on GPU at SC08,SC08,2008,,2008: First GEMM on GPU at SC’08 by V. Volkov,Historical reference for GPU GEMM.,Unclear
R064,Domke slide 57,Other,T. Hoefler et al.,Sparsity in Deep Learning: Pruning …,Not available on slide,,,"T. Hoefler et al. ""Sparsity in Deep Learning: Pruning …”",Supports argument for sparsity in AI.,Unclear
R065,Domke slide 57,Other,J. White (ORNL),Is MPI the New *CCL?,Talk by J. White (ORNL),,,"Talk by J. White(ORNL): ""Is MPI the New *CCL?”",Supports discussion of MPI and AI collectives.,Unclear
R066,"Domke slides 64, 65",Other,J. Domke et al.,Matrix Engines for High Performance Computing: A Paragon of Performance or Grasping at Straws?,Not available on slide,,,"J. Domke et al. ""Matrix Engines for High Performance Computing: A Paragon of Performance or Grasping at Straws?""",Supports GEMM utilization analysis in HPC.,Unclear
R067,"Domke slides 66, 67",Conference paper,Not available on slide,Not available on slide,ACM,,https://dl.acm.org/doi/10.1145/3624062.3624135,Paper: dl.acm.org/doi/10.1145/3624062.3624135,Supports collaborative continuous benchmarking.,Partial link
R068,"Domke slides 66, 67",Software or code repository,LLNL / Benchpark project,Benchpark,GitHub,,https://github.com/LLNL/benchpark,Repo: github.com/LLNL/benchpark,Code repository for continuous benchmarking.,Partial link
R069,"Domke slides 68, 69",Software or code repository,Meta,PyTorch,FugakuNEXT Software Matrix,,https://pytorch.org,https://pytorch.org,Listed as AI/HPC software ecosystem component: PyTorch.,Complete link
R070,"Domke slides 68, 69",Software or code repository,Google,TensorFlow,FugakuNEXT Software Matrix,,https://www.tensorflow.org,https://www.tensorflow.org,Listed as AI/HPC software ecosystem component: TensorFlow.,Complete link
R071,"Domke slides 68, 69",Software or code repository,Apache Foundation,Apache MXNet,FugakuNEXT Software Matrix,,https://mxnet.apache.org/,https://mxnet.apache.org/,Listed as AI/HPC software ecosystem component: Apache MXNet.,Complete link
R072,"Domke slides 68, 69",Software or code repository,PaddlePaddle,PaddlePaddle,FugakuNEXT Software Matrix,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Listed as AI/HPC software ecosystem component: PaddlePaddle.,Complete link
R073,"Domke slides 68, 69",Website,Sony,NNABLA,FugakuNEXT Software Matrix,,https://nnabla.org,https://nnabla.org,Listed as AI/HPC software ecosystem component: NNABLA.,Complete link
R074,"Domke slides 68, 69",Software or code repository,Anyscale Inc.,RAY,FugakuNEXT Software Matrix,,https://www.ray.io,https://www.ray.io,Listed as AI/HPC software ecosystem component: RAY.,Complete link
R075,"Domke slides 68, 69",Software or code repository,Google,JAX,FugakuNEXT Software Matrix,,https://jax.readthedocs.io/en/latest/#,https://jax.readthedocs.io/en/latest/#,Listed as AI/HPC software ecosystem component: JAX.,Complete link
R076,"Domke slides 68, 69",Website,Colossal-AI,Colossal-AI,FugakuNEXT Software Matrix,,https://colossalai.org,https://colossalai.org,Listed as AI/HPC software ecosystem component: Colossal-AI.,Complete link
R077,"Domke slides 68, 69",Software or code repository,Google,Keras (TF),FugakuNEXT Software Matrix,,https://keras.io,https://keras.io,Listed as AI/HPC software ecosystem component: Keras (TF).,Complete link
R078,"Domke slides 68, 69",Website,Gluon,Gluon (MXNet),FugakuNEXT Software Matrix,,https://auto.gluon.ai/stable/index.html,https://auto.gluon.ai/stable/index.html,Listed as AI/HPC software ecosystem component: Gluon (MXNet).,Complete link
R079,"Domke slides 68, 69",Software or code repository,fast.ai,fastai,FugakuNEXT Software Matrix,,https://github.com/fastai/fastai,https://github.com/fastai/fastai,Listed as AI/HPC software ecosystem component: fastai.,Complete link
R080,"Domke slides 68, 69",Software or code repository,DGL,DGL,FugakuNEXT Software Matrix,,https://www.dgl.ai,https://www.dgl.ai,Listed as AI/HPC software ecosystem component: DGL.,Complete link
R081,"Domke slides 68, 69",Software or code repository,Lightning AI,Lightning,FugakuNEXT Software Matrix,,https://lightning.ai,https://lightning.ai,Listed as AI/HPC software ecosystem component: Lightning.,Complete link
R082,"Domke slides 68, 69",Software or code repository,Microsoft,DeepSpeed,FugakuNEXT Software Matrix,,https://www.deepspeed.ai,https://www.deepspeed.ai,Listed as AI/HPC software ecosystem component: DeepSpeed.,Complete link
R083,"Domke slides 68, 69",Software or code repository,Meta,PyTorch Geometric,FugakuNEXT Software Matrix,,https://pytorch-geometric.readthedocs.io,https://pytorch-geometric.readthedocs.io,Listed as AI/HPC software ecosystem component: PyTorch Geometric.,Complete link
R084,"Domke slides 68, 69",Software or code repository,DeepMind,Sonnet,FugakuNEXT Software Matrix,,https://sonnet.readthedocs.io/en/latest/#,https://sonnet.readthedocs.io/en/latest/#,Listed as AI/HPC software ecosystem component: Sonnet.,Complete link
R085,"Domke slides 68, 69",Software or code repository,Uber,Horovod,FugakuNEXT Software Matrix,,https://horovod.readthedocs.io/en/stable/,https://horovod.readthedocs.io/en/stable/,Listed as AI/HPC software ecosystem component: Horovod.,Complete link
R086,"Domke slides 68, 69",Website,NVIDIA,NCCL,FugakuNEXT Software Matrix,,https://developer.nvidia.com/nccl,https://developer.nvidia.com/nccl,Listed as AI/HPC software ecosystem component: NCCL.,Complete link
R087,"Domke slides 68, 69",Website,AMD,RCCL,FugakuNEXT Software Matrix,,https://rocm.docs.amd.com/projects/rccl/en/latest/,https://rocm.docs.amd.com/projects/rccl/en/latest/,Listed as AI/HPC software ecosystem component: RCCL.,Complete link
R088,"Domke slides 68, 69",Website,NVIDIA,cuDNN,FugakuNEXT Software Matrix,,https://developer.nvidia.com/cudnn,https://developer.nvidia.com/cudnn,Listed as AI/HPC software ecosystem component: cuDNN.,Complete link
R089,"Domke slides 68, 69",Software or code repository,Intel,oneDNN,FugakuNEXT Software Matrix,,https://oneapi-src.github.io/oneDNN/group_dnnl_api.html,https://oneapi-src.github.io/oneDNN/group_dnnl_api.html,Listed as AI/HPC software ecosystem component: oneDNN.,Complete link
R090,"Domke slides 68, 69",Software or code repository,AMD,hipDNN/MIOpen,FugakuNEXT Software Matrix,,https://github.com/ROCmSoftwarePlatform/hipDNN,https://github.com/ROCmSoftwarePlatform/hipDNN,Listed as AI/HPC software ecosystem component: hipDNN/MIOpen.,Complete link
R091,"Domke slides 68, 69",Software or code repository,LIBXSMM,LIBXSMM,FugakuNEXT Software Matrix,,https://libxsmm.readthedocs.io,https://libxsmm.readthedocs.io,Listed as AI/HPC software ecosystem component: LIBXSMM.,Complete link
R092,"Domke slides 68, 69",Software or code repository,Preferred Networks,CUPy,FugakuNEXT Software Matrix,,https://cupy.dev,https://cupy.dev,Listed as AI/HPC software ecosystem component: CUPy.,Complete link
R093,"Domke slides 68, 69",Software or code repository,Hugging Face,Hugging Face,FugakuNEXT Software Matrix,,https://huggingface.co,https://huggingface.co,Listed as AI/HPC software ecosystem component: Hugging Face.,Complete link
R094,"Domke slides 68, 69",Software or code repository,Google,Keras Applications,FugakuNEXT Software Matrix,,https://keras.io/api/applications/,https://keras.io/api/applications/,Listed as AI/HPC software ecosystem component: Keras Applications.,Complete link
R095,"Domke slides 68, 69",Software or code repository,Meta/Microsoft,ONNX,FugakuNEXT Software Matrix,,https://onnx.ai,https://onnx.ai,Listed as AI/HPC software ecosystem component: ONNX.,Complete link
R096,"Domke slides 68, 69",Website,Intel,SigOpt,FugakuNEXT Software Matrix,,https://sigopt.com,https://sigopt.com,Listed as AI/HPC software ecosystem component: SigOpt.,Complete link
R097,"Domke slides 68, 69",Website,Determined AI,Determined AI,FugakuNEXT Software Matrix,,https://www.determined.ai,https://www.determined.ai,Listed as AI/HPC software ecosystem component: Determined AI.,Complete link
R098,"Domke slides 68, 69",Software or code repository,Preferred Networks,Optuna,FugakuNEXT Software Matrix,,https://optuna.org,https://optuna.org,Listed as AI/HPC software ecosystem component: Optuna.,Complete link
R099,"Domke slides 68, 69",Software or code repository,Apache Foundation,Apache TVM,FugakuNEXT Software Matrix,,https://tvm.apache.org,https://tvm.apache.org,Listed as AI/HPC software ecosystem component: Apache TVM.,Complete link
R100,"Domke slides 68, 69",Website,Comet ML Inc.,Comet,FugakuNEXT Software Matrix,,https://www.comet.com/site/,https://www.comet.com/site/,Listed as AI/HPC software ecosystem component: Comet.,Complete link
